Names,ProblemIds,ProblemUrls,Source
ATM Machine,ATM2,https://www.codechef.com/problems/ATM2,CodeChef
Kitchen Timetable,KTTABLE,https://www.codechef.com/problems/KTTABLE,CodeChef
Playing with Matches,MATCHES,https://www.codechef.com/problems/MATCHES,CodeChef
Farmer And His Plot,RECTSQ,https://www.codechef.com/problems/RECTSQ,CodeChef
Studying Alphabet,ALPHABET,https://www.codechef.com/problems/ALPHABET,CodeChef
Bear and Candies 123,CANDY123,https://www.codechef.com/problems/CANDY123,CodeChef
Alternating subarray prefix,ALTARAY,https://www.codechef.com/problems/ALTARAY,CodeChef
Chef and Subarrays,CHEFARRP,https://www.codechef.com/problems/CHEFARRP,CodeChef
Two Numbers,TWONMS,https://www.codechef.com/problems/TWONMS,CodeChef
Chef and Cook-Off,CCOOK,https://www.codechef.com/problems/CCOOK,CodeChef
Devu and friendship testing,CFRTEST,https://www.codechef.com/problems/CFRTEST,CodeChef
Chef and Rainbow Array,RAINBOWA,https://www.codechef.com/problems/RAINBOWA,CodeChef
FlatLand,ICL1902,https://www.codechef.com/problems/ICL1902,CodeChef
Chef And Coloring,COLOR,https://www.codechef.com/problems/COLOR,CodeChef
Buying New Tablet,TABLET,https://www.codechef.com/problems/TABLET,CodeChef
How much Scholarship,ZCOSCH,https://www.codechef.com/problems/ZCOSCH,CodeChef
Version Control System,VCS,https://www.codechef.com/problems/VCS,CodeChef
Movie Weekend,MOVIEWKN,https://www.codechef.com/problems/MOVIEWKN,CodeChef
Lazy Jem,TALAZY,https://www.codechef.com/problems/TALAZY,CodeChef
Cats and Dogs,CATSDOGS,https://www.codechef.com/problems/CATSDOGS,CodeChef
Program Your Own CALCULATOR,URCALC,https://www.codechef.com/problems/URCALC,CodeChef
Ada School,ADASCOOL,https://www.codechef.com/problems/ADASCOOL,CodeChef
Cut the Board,CUTBOARD,https://www.codechef.com/problems/CUTBOARD,CodeChef
IPL and RCB,CLIPLX,https://www.codechef.com/problems/CLIPLX,CodeChef
Chef and his Sequence,CHEFSQ,https://www.codechef.com/problems/CHEFSQ,CodeChef
Similar Dishes,SIMDISH,https://www.codechef.com/problems/SIMDISH,CodeChef
Chef Judges a Competition,CO92JUDG,https://www.codechef.com/problems/CO92JUDG,CodeChef
Download file,DWNLD,https://www.codechef.com/problems/DWNLD,CodeChef
From heaven to earth,ELEVSTRS,https://www.codechef.com/problems/ELEVSTRS,CodeChef
Play Piano,PLAYPIAN,https://www.codechef.com/problems/PLAYPIAN,CodeChef
Football,MSNSADM1,https://www.codechef.com/problems/MSNSADM1,CodeChef
That Is My Score!,WATSCORE,https://www.codechef.com/problems/WATSCORE,CodeChef
Count Subarrays,SUBINC,https://www.codechef.com/problems/SUBINC,CodeChef
CV,CV,https://www.codechef.com/problems/CV,CodeChef
Chef and Bored Games,PCJ18B,https://www.codechef.com/problems/PCJ18B,CodeChef
Palindromic substrings,STRPALIN,https://www.codechef.com/problems/STRPALIN,CodeChef
Bear and Segment 01,SEGM01,https://www.codechef.com/problems/SEGM01,CodeChef
Chef and Interactive Contests,CHFINTRO,https://www.codechef.com/problems/CHFINTRO,CodeChef
Easy Math,RPD,https://www.codechef.com/problems/RPD,CodeChef
Sticks,STICKS,https://www.codechef.com/problems/STICKS,CodeChef
Attendance,ATTND,https://www.codechef.com/problems/ATTND,CodeChef
Chef and Table Tennis,TTENIS,https://www.codechef.com/problems/TTENIS,CodeChef
Coldplay,SLOOP,https://www.codechef.com/problems/SLOOP,CodeChef
Find the Maximum Value,LOSTMAX,https://www.codechef.com/problems/LOSTMAX,CodeChef
Tickets,TICKETS5,https://www.codechef.com/problems/TICKETS5,CodeChef
Judging Delay,JDELAY,https://www.codechef.com/problems/JDELAY,CodeChef
Simple Statistics,SIMPSTAT,https://www.codechef.com/problems/SIMPSTAT,CodeChef
Pair Me,SUMPOS,https://www.codechef.com/problems/SUMPOS,CodeChef
Chef and Friends,FRK,https://www.codechef.com/problems/FRK,CodeChef
Train Partner,ANKTRAIN,https://www.codechef.com/problems/ANKTRAIN,CodeChef
Snake Procession,SNAKPROC,https://www.codechef.com/problems/SNAKPROC,CodeChef
Find Your Gift,GIFTSRC,https://www.codechef.com/problems/GIFTSRC,CodeChef
Chef and Price Control,PRICECON,https://www.codechef.com/problems/PRICECON,CodeChef
Change It,CHNGIT,https://www.codechef.com/problems/CHNGIT,CodeChef
Good and Bad Persons,GOODBAD,https://www.codechef.com/problems/GOODBAD,CodeChef
Roots of a Quadratic Equation,QUADROOT,https://www.codechef.com/problems/QUADROOT,CodeChef
Chef and Gift,PRGIFT,https://www.codechef.com/problems/PRGIFT,CodeChef
Candy Love,CNDLOVE,https://www.codechef.com/problems/CNDLOVE,CodeChef
Playing with Strings,PLAYSTR,https://www.codechef.com/problems/PLAYSTR,CodeChef
A Balanced Contest,PERFCONT,https://www.codechef.com/problems/PERFCONT,CodeChef
Temple Land,TEMPLELA,https://www.codechef.com/problems/TEMPLELA,CodeChef
Buggy Calculator,BUGCAL,https://www.codechef.com/problems/BUGCAL,CodeChef
A - Books,BIT2A,https://www.codechef.com/problems/BIT2A,CodeChef
Brackets,BRACKETS,https://www.codechef.com/problems/BRACKETS,CodeChef
Average Number,AVG,https://www.codechef.com/problems/AVG,CodeChef
Chef and Employment Test,CK87MEDI,https://www.codechef.com/problems/CK87MEDI,CodeChef
One more weird game,OMWG,https://www.codechef.com/problems/OMWG,CodeChef
The Next Palindrome,PALIN,https://www.codechef.com/problems/PALIN,CodeChef
Uniform Strings,STRLBP,https://www.codechef.com/problems/STRLBP,CodeChef
Devu and Grapes,DEVUGRAP,https://www.codechef.com/problems/DEVUGRAP,CodeChef
Chef and Chocolate,CHCHCL,https://www.codechef.com/problems/CHCHCL,CodeChef
Chef and String,XYSTR,https://www.codechef.com/problems/XYSTR,CodeChef
A Good Set,GOODSET,https://www.codechef.com/problems/GOODSET,CodeChef
Strange operations,UTMOPR,https://www.codechef.com/problems/UTMOPR,CodeChef
Encoding Message,ENCMSG,https://www.codechef.com/problems/ENCMSG,CodeChef
Bear and Ladder,BRLADDER,https://www.codechef.com/problems/BRLADDER,CodeChef
Medel,MDL,https://www.codechef.com/problems/MDL,CodeChef
Secret Recipe,CHEFRUN,https://www.codechef.com/problems/CHEFRUN,CodeChef
Chef and String,CHRL2,https://www.codechef.com/problems/CHRL2,CodeChef
Coder Life Matters,CODERLIF,https://www.codechef.com/problems/CODERLIF,CodeChef
Chef and his daily routine,CHEFROUT,https://www.codechef.com/problems/CHEFROUT,CodeChef
Chef Chick,CHFCHK,https://www.codechef.com/problems/CHFCHK,CodeChef
Ada and crayons,ADACRA,https://www.codechef.com/problems/ADACRA,CodeChef
Highest Divisor,HDIVISR,https://www.codechef.com/problems/HDIVISR,CodeChef
Chef and Steps,CHEFSTEP,https://www.codechef.com/problems/CHEFSTEP,CodeChef
Chef and Glove,CHEGLOVE,https://www.codechef.com/problems/CHEGLOVE,CodeChef
Chef Diet,DIET,https://www.codechef.com/problems/DIET,CodeChef
Lost Weekends,LOSTWKND,https://www.codechef.com/problems/LOSTWKND,CodeChef
Bear and Milky Cookies,COOMILK,https://www.codechef.com/problems/COOMILK,CodeChef
Nothing in Common,NOTINCOM,https://www.codechef.com/problems/NOTINCOM,CodeChef
Andrash and Stipendium,EGRANDR,https://www.codechef.com/problems/EGRANDR,CodeChef
Gregorian Calendar,FLOW015,https://www.codechef.com/problems/FLOW015,CodeChef
Chef and Cook-Off Contests,C00K0FF,https://www.codechef.com/problems/C00K0FF,CodeChef
Days in Month,NW1,https://www.codechef.com/problems/NW1,CodeChef
Multiple Choice Exam,EXAM1,https://www.codechef.com/problems/EXAM1,CodeChef
Whats in the Name,NITIKA,https://www.codechef.com/problems/NITIKA,CodeChef
Hidden Numbers,UWCOI21A,https://www.codechef.com/problems/UWCOI21A,CodeChef
Lucky Four,LUCKYFR,https://www.codechef.com/problems/LUCKYFR,CodeChef
Lift Requests,LIFTME,https://www.codechef.com/problems/LIFTME,CodeChef
Split the Str Ing,SPLITIT,https://www.codechef.com/problems/SPLITIT,CodeChef
Chef and Eid,EID,https://www.codechef.com/problems/EID,CodeChef
Possible Victory,T20MCH,https://www.codechef.com/problems/T20MCH,CodeChef
Peak Finding,UWCOI20A,https://www.codechef.com/problems/UWCOI20A,CodeChef
A Big Sale,BIGSALE,https://www.codechef.com/problems/BIGSALE,CodeChef
Even-tual Reduction,EVENTUAL,https://www.codechef.com/problems/EVENTUAL,CodeChef
Chef and Difficult Contests,CHFTIRED,https://www.codechef.com/problems/CHFTIRED,CodeChef
Watermelon,WATMELON,https://www.codechef.com/problems/WATMELON,CodeChef
Chef On Island,CCISLAND,https://www.codechef.com/problems/CCISLAND,CodeChef
Chef in Fantasy League,FFL,https://www.codechef.com/problems/FFL,CodeChef
Chang and Bitwise OR,CHNGOR,https://www.codechef.com/problems/CHNGOR,CodeChef
Fancy Quotes,FANCY,https://www.codechef.com/problems/FANCY,CodeChef
Xenny and Alternating Tasks,XENTASK,https://www.codechef.com/problems/XENTASK,CodeChef
Sed Sequences,SEDARR,https://www.codechef.com/problems/SEDARR,CodeChef
Passing Marks,PSGRADE,https://www.codechef.com/problems/PSGRADE,CodeChef
Akhil And Colored Balls,ACBALL,https://www.codechef.com/problems/ACBALL,CodeChef
Valid Pair,SOCKS1,https://www.codechef.com/problems/SOCKS1,CodeChef
Breaking Bricks,BRKBKS,https://www.codechef.com/problems/BRKBKS,CodeChef
Devu and an Array,DEVARRAY,https://www.codechef.com/problems/DEVARRAY,CodeChef
Who dares to be a millionaire,WDTBAM,https://www.codechef.com/problems/WDTBAM,CodeChef
Chef and Serves,CHSERVE,https://www.codechef.com/problems/CHSERVE,CodeChef
Mathison and pangrams,MATPAN,https://www.codechef.com/problems/MATPAN,CodeChef
Football Match,FBMT,https://www.codechef.com/problems/FBMT,CodeChef
Chef and Secret Ingredient,PCJ18A,https://www.codechef.com/problems/PCJ18A,CodeChef
Testing Robot,TSTROBOT,https://www.codechef.com/problems/TSTROBOT,CodeChef
Appy and Contest,HMAPPY2,https://www.codechef.com/problems/HMAPPY2,CodeChef
Chef Swaps Digits,SWPDGT,https://www.codechef.com/problems/SWPDGT,CodeChef
Chef and IPC Certificates,IPCCERT,https://www.codechef.com/problems/IPCCERT,CodeChef
Minimum Attendance Requirement,ATTENDU,https://www.codechef.com/problems/ATTENDU,CodeChef
COVID Pandemic and Long Queue,COVIDLQ,https://www.codechef.com/problems/COVIDLQ,CodeChef
Max power,MAX2,https://www.codechef.com/problems/MAX2,CodeChef
Print Pattern,PPATTERN,https://www.codechef.com/problems/PPATTERN,CodeChef
Is it a Cakewalk Problem,ISITCAKE,https://www.codechef.com/problems/ISITCAKE,CodeChef
Sell All the Cars,CARSELL,https://www.codechef.com/problems/CARSELL,CodeChef
Workers,CHEFWORK,https://www.codechef.com/problems/CHEFWORK,CodeChef
Collisions,LCOLLIS,https://www.codechef.com/problems/LCOLLIS,CodeChef
Cyclic Quadrilateral,CYCLICQD,https://www.codechef.com/problems/CYCLICQD,CodeChef
The Great Run,PROC18A,https://www.codechef.com/problems/PROC18A,CodeChef
"Snakes, Mongooses and the Ultimate Election",SNELECT,https://www.codechef.com/problems/SNELECT,CodeChef
Making a Meal,CFMM,https://www.codechef.com/problems/CFMM,CodeChef
Chef-Detective,CHEFDETE,https://www.codechef.com/problems/CHEFDETE,CodeChef
Maximum Remaining,MAXREM,https://www.codechef.com/problems/MAXREM,CodeChef
Laddu,LADDU,https://www.codechef.com/problems/LADDU,CodeChef
Ping Paja Pong,PAJAPONG,https://www.codechef.com/problems/PAJAPONG,CodeChef
Discount in a Shop,DISCSHOP,https://www.codechef.com/problems/DISCSHOP,CodeChef
At the Gates,POPGATES,https://www.codechef.com/problems/POPGATES,CodeChef
Bowling Strategy,BOWLERS,https://www.codechef.com/problems/BOWLERS,CodeChef
Chef and Demonetisation,CHFMOT18,https://www.codechef.com/problems/CHFMOT18,CodeChef
Richie Rich,CHFRICH,https://www.codechef.com/problems/CHFRICH,CodeChef
Body Mass Index,BMI,https://www.codechef.com/problems/BMI,CodeChef
Pintu and Fruits,CHPINTU,https://www.codechef.com/problems/CHPINTU,CodeChef
Chef and Work,CHEFNWRK,https://www.codechef.com/problems/CHEFNWRK,CodeChef
Magician versus Chef,MAGICHF,https://www.codechef.com/problems/MAGICHF,CodeChef
Cache Hits,CACHEHIT,https://www.codechef.com/problems/CACHEHIT,CodeChef
Check Algorithm,CHEALG,https://www.codechef.com/problems/CHEALG,CodeChef
Life Limited,LIFELTD,https://www.codechef.com/problems/LIFELTD,CodeChef
The Deadly Sin,SINS,https://www.codechef.com/problems/SINS,CodeChef
Naive Chef,NAICHEF,https://www.codechef.com/problems/NAICHEF,CodeChef
Even Differences,EVENDIFF,https://www.codechef.com/problems/EVENDIFF,CodeChef
Coronavirus Spread,COVID19,https://www.codechef.com/problems/COVID19,CodeChef
Plus Multiply,PLMU,https://www.codechef.com/problems/PLMU,CodeChef
Chef and Sum,CSUM,https://www.codechef.com/problems/CSUM,CodeChef
Chef and An Ideal Problem,CHFIDEAL,https://www.codechef.com/problems/CHFIDEAL,CodeChef
Maximise the Sum,NOMATCH,https://www.codechef.com/problems/NOMATCH,CodeChef
Entrance Exam,ENTEXAM,https://www.codechef.com/problems/ENTEXAM,CodeChef
Random Pair,RNDPAIR,https://www.codechef.com/problems/RNDPAIR,CodeChef
Chef Feeds Cats,CATFEED,https://www.codechef.com/problems/CATFEED,CodeChef
Balsa For The Three,BFTT,https://www.codechef.com/problems/BFTT,CodeChef
Xor Again,XORAGN,https://www.codechef.com/problems/XORAGN,CodeChef
Chef vs Doof,CLLCM,https://www.codechef.com/problems/CLLCM,CodeChef
Weird Modulo Problem ,EXUNA,https://www.codechef.com/problems/EXUNA,CodeChef
Spell Bob,SPELLBOB,https://www.codechef.com/problems/SPELLBOB,CodeChef
Valid Stack Operations,VALIDSTK,https://www.codechef.com/problems/VALIDSTK,CodeChef
Chef and Street Food,STFOOD,https://www.codechef.com/problems/STFOOD,CodeChef
Digit Longest Increasing Subsequences 2,LISDIGIT,https://www.codechef.com/problems/LISDIGIT,CodeChef
Lazy Chef,LAZYCHF,https://www.codechef.com/problems/LAZYCHF,CodeChef
Recruit Villagers,VILLINE,https://www.codechef.com/problems/VILLINE,CodeChef
Truth and Dare,TRUEDARE,https://www.codechef.com/problems/TRUEDARE,CodeChef
Chef and His Apartment Dues,CHEFAPAR,https://www.codechef.com/problems/CHEFAPAR,CodeChef
Select Training Set,TRAINSET,https://www.codechef.com/problems/TRAINSET,CodeChef
Chef and GCD,CHFGCD,https://www.codechef.com/problems/CHFGCD,CodeChef
Eidi Gift,EID2,https://www.codechef.com/problems/EID2,CodeChef
Chef and Icecream,CHFICRM,https://www.codechef.com/problems/CHFICRM,CodeChef
Chef Wars - Return of the Jedi,CHEFWARS,https://www.codechef.com/problems/CHEFWARS,CodeChef
Chef and Strings,CHEFSTR1,https://www.codechef.com/problems/CHEFSTR1,CodeChef
Chef and String,RECNDSTR,https://www.codechef.com/problems/RECNDSTR,CodeChef
A - Save Water Save Life,SAVWATER,https://www.codechef.com/problems/SAVWATER,CodeChef
Quentin Tarantino,KOL16J,https://www.codechef.com/problems/KOL16J,CodeChef
Catch the Thief,CATHIEF,https://www.codechef.com/problems/CATHIEF,CodeChef
Ada and Dishes,ADADISH,https://www.codechef.com/problems/ADADISH,CodeChef
Gasoline Introduction,BEGGASOL,https://www.codechef.com/problems/BEGGASOL,CodeChef
Tom And Jerry 1,TANDJ1,https://www.codechef.com/problems/TANDJ1,CodeChef
Chef and Recipe,CHEFRECP,https://www.codechef.com/problems/CHEFRECP,CodeChef
Weight Balance,WEIGHTBL,https://www.codechef.com/problems/WEIGHTBL,CodeChef
Subsequence Equality,LIKECS01,https://www.codechef.com/problems/LIKECS01,CodeChef
Pawri Meme,PAWRI,https://www.codechef.com/problems/PAWRI,CodeChef
Ada King,ADAKING,https://www.codechef.com/problems/ADAKING,CodeChef
Covid Run,CVDRUN,https://www.codechef.com/problems/CVDRUN,CodeChef
Equinox Strings,EQUINOX,https://www.codechef.com/problems/EQUINOX,CodeChef
Ordering teams,ORDTEAMS,https://www.codechef.com/problems/ORDTEAMS,CodeChef
Distribute Apples,DSTAPLS,https://www.codechef.com/problems/DSTAPLS,CodeChef
Dinosaurs Football,MXCH,https://www.codechef.com/problems/MXCH,CodeChef
Usain Bolt vs Tiger,USANBOLT,https://www.codechef.com/problems/USANBOLT,CodeChef
Chess Match,BLITZ3_2,https://www.codechef.com/problems/BLITZ3_2,CodeChef
School of Geometry,SNUG_FIT,https://www.codechef.com/problems/SNUG_FIT,CodeChef
Hoop Jump,HOOPS,https://www.codechef.com/problems/HOOPS,CodeChef
Mode of Frequencies,MODEFREQ,https://www.codechef.com/problems/MODEFREQ,CodeChef
Train or Walk,WALKFAST,https://www.codechef.com/problems/WALKFAST,CodeChef
Hard Cash,CASH,https://www.codechef.com/problems/CASH,CodeChef
Coupon System,COUPSYS,https://www.codechef.com/problems/COUPSYS,CodeChef
Chef and Mean  ,CHFM,https://www.codechef.com/problems/CHFM,CodeChef
Minimum Deletions,RD19,https://www.codechef.com/problems/RD19,CodeChef
Deputy Chef,DEPCHEF,https://www.codechef.com/problems/DEPCHEF,CodeChef
Chef and Sequence,CHFAR,https://www.codechef.com/problems/CHFAR,CodeChef
Jumping in the hills,HILLS,https://www.codechef.com/problems/HILLS,CodeChef
A Problem on Sticks,TREE2,https://www.codechef.com/problems/TREE2,CodeChef
Trace of Matrix,TRACE,https://www.codechef.com/problems/TRACE,CodeChef
Chef and Card Game,CRDGAME,https://www.codechef.com/problems/CRDGAME,CodeChef
Archi and Comparsion,NUMCOMP,https://www.codechef.com/problems/NUMCOMP,CodeChef
Summer Heat,COCONUT,https://www.codechef.com/problems/COCONUT,CodeChef
Chef and Division 3,DIVTHREE,https://www.codechef.com/problems/DIVTHREE,CodeChef
Priya and AND,CENS20D,https://www.codechef.com/problems/CENS20D,CodeChef
Split Stones,SPLST,https://www.codechef.com/problems/SPLST,CodeChef
Easy Fibonacci,FIBEASY,https://www.codechef.com/problems/FIBEASY,CodeChef
Distinct Pair Sums,MANYSUMS,https://www.codechef.com/problems/MANYSUMS,CodeChef
False Number,FALSNUM,https://www.codechef.com/problems/FALSNUM,CodeChef
Villages and Tribes,VILTRIBE,https://www.codechef.com/problems/VILTRIBE,CodeChef
K Fibonnaci,KFIB,https://www.codechef.com/problems/KFIB,CodeChef
Chef and Distinct Numbers,CEQUAL,https://www.codechef.com/problems/CEQUAL,CodeChef
Qualifying to Pre-Elimination,QUALPREL,https://www.codechef.com/problems/QUALPREL,CodeChef
XOR! Wait for it,XORNEY,https://www.codechef.com/problems/XORNEY,CodeChef
Guess the Number,GUESSIT,https://www.codechef.com/problems/GUESSIT,CodeChef
Smallest Possible Whole Number,SMOL,https://www.codechef.com/problems/SMOL,CodeChef
Is This a Give Away,GVAWAY,https://www.codechef.com/problems/GVAWAY,CodeChef
Chef and Numbers,RECNDNOS,https://www.codechef.com/problems/RECNDNOS,CodeChef
Chef and Linear Chess,LINCHESS,https://www.codechef.com/problems/LINCHESS,CodeChef
Chef and Number Game,CHNUM,https://www.codechef.com/problems/CHNUM,CodeChef
Ada King,ADAKNG,https://www.codechef.com/problems/ADAKNG,CodeChef
Chef and Inequality,LTM40AB,https://www.codechef.com/problems/LTM40AB,CodeChef
Motivation,IMDB,https://www.codechef.com/problems/IMDB,CodeChef
Hard Sequence,HRDSEQ,https://www.codechef.com/problems/HRDSEQ,CodeChef
Ada and the Staircase,ADASTAIR,https://www.codechef.com/problems/ADASTAIR,CodeChef
Marathon,MARARUN,https://www.codechef.com/problems/MARARUN,CodeChef
Weapon Value,SC31,https://www.codechef.com/problems/SC31,CodeChef
Winning Strategy,TOWIN,https://www.codechef.com/problems/TOWIN,CodeChef
The Last Problem,TLAPM,https://www.codechef.com/problems/TLAPM,CodeChef
Mr Pr in a Dilemma ,ICM2008,https://www.codechef.com/problems/ICM2008,CodeChef
Chef and Pairs,CPAIRS,https://www.codechef.com/problems/CPAIRS,CodeChef
Chef And His Characters,CHEFCHR,https://www.codechef.com/problems/CHEFCHR,CodeChef
Tax Slabs,SLAB,https://www.codechef.com/problems/SLAB,CodeChef
Black cells in a chessboard,BLACKCEL,https://www.codechef.com/problems/BLACKCEL,CodeChef
Camp Or Not,CAMPON,https://www.codechef.com/problems/CAMPON,CodeChef
Task for Alexey,ALEXTASK,https://www.codechef.com/problems/ALEXTASK,CodeChef
Safe Robots,SAFEROBO,https://www.codechef.com/problems/SAFEROBO,CodeChef
Solubility,SOLBLTY,https://www.codechef.com/problems/SOLBLTY,CodeChef
Chefland Visa,VISA,https://www.codechef.com/problems/VISA,CodeChef
Password,PASSWD,https://www.codechef.com/problems/PASSWD,CodeChef
Chef and Proxy,PROXYC,https://www.codechef.com/problems/PROXYC,CodeChef
Chef and Game with Sequence,L56GAME,https://www.codechef.com/problems/L56GAME,CodeChef
Fibonacci String,CLFIBD,https://www.codechef.com/problems/CLFIBD,CodeChef
Guddu on a Date,KS2,https://www.codechef.com/problems/KS2,CodeChef
Reduce to One,REDONE,https://www.codechef.com/problems/REDONE,CodeChef
Byte to Bit,BITOBYT,https://www.codechef.com/problems/BITOBYT,CodeChef
Magic Set,MGCSET,https://www.codechef.com/problems/MGCSET,CodeChef
Survive in ChocoLand,SURVIVE,https://www.codechef.com/problems/SURVIVE,CodeChef
Full Barrier Alchemist,PIPSQUIK,https://www.codechef.com/problems/PIPSQUIK,CodeChef
Chef and Typing,TYPING,https://www.codechef.com/problems/TYPING,CodeChef
Chef Drinks Coke,COKE,https://www.codechef.com/problems/COKE,CodeChef
Chain Reaction,REACTION,https://www.codechef.com/problems/REACTION,CodeChef
A puzzle game,H1,https://www.codechef.com/problems/H1,CodeChef
Smart Strategy,SMRSTR,https://www.codechef.com/problems/SMRSTR,CodeChef
J - Reached Safely Or Not,ZUBREACH,https://www.codechef.com/problems/ZUBREACH,CodeChef
Khaled in HIT,HIT,https://www.codechef.com/problems/HIT,CodeChef
Tweedle-Dee and Tweedle-Dum ,TWEED,https://www.codechef.com/problems/TWEED,CodeChef
D - Triangle Count,ZUBTRCNT,https://www.codechef.com/problems/ZUBTRCNT,CodeChef
Rupsa and the Game,RGAME,https://www.codechef.com/problems/RGAME,CodeChef
Compress the List,CMPRSS,https://www.codechef.com/problems/CMPRSS,CodeChef
Event,EVENT,https://www.codechef.com/problems/EVENT,CodeChef
Chef And his Cake,GIT01,https://www.codechef.com/problems/GIT01,CodeChef
Strike or Spare,PINS,https://www.codechef.com/problems/PINS,CodeChef
